symbol,sector,price,ma20,ma50,ma200,rsi,vol_ratio,cur_vol,vol_ma20,ret_1w,ret_1m,ret_3m,ret_6m,high_18m,low_18m,pos_18m,is_above_ma20,is_above_ma50,is_golden_cross,is_vol_breakout,bounce_from_low,has_fvg,has_displacement,macd_hist,total_score
CTG,Ngân hàng,32100.0,31477.5,32031.4,34322.55,52.42718446601941,0.21405986465132953,1620200,7568910.7,1.7432646592709933,10.689655172413804,-3.7192561487702447,-9.957924263674611,42840.0,22830.0,46.326836581709145,True,True,False,False,13.0281690140845,True,False,89.10486222996124,79.0
HDB,Ngân hàng,27550.0,26512.5,26363.0,26241.35,63.07692307692307,0.42237672820266925,3963900,9384750.0,2.226345083487935,9.760956175298796,10.642570281124497,6.165703275529855,30000.0,13880.0,84.8014888337469,True,True,True,False,12.67893660531698,True,False,86.24325341486292,79.0
PVS,Dầu khí,37700.0,35035.0,36348.0,38031.6,75.0,0.5665641255103753,1266200,2234875.0,5.602240896358546,12.202380952380953,-0.2645502645502673,-26.078431372549016,56400.0,20000.0,48.62637362637363,True,True,False,False,18.181818181818187,True,True,451.00916373298145,78.0
DCM,Hóa chất,32100.0,31057.5,32041.2,35871.5,61.61616161616161,0.46800547494675104,959100,2049335.0,4.56026058631922,5.940594059405946,-12.366912366912363,-28.82483370288248,50010.0,22100.0,35.829451809387315,True,True,False,False,11.652173913043473,True,False,209.64017582122847,78.0
MSN,Thực phẩm & Đồ uống,70300.0,67395.0,68546.0,74867.0,59.047619047619044,0.3961289888161644,1588400,4009805.0,5.239520958083843,7.001522070015231,-3.9617486338797803,-6.640106241699872,94000.0,50300.0,45.766590389016024,True,True,False,False,11.234177215189867,True,False,476.22771963563645,77.0
VCB,Ngân hàng,59800.0,58570.0,59063.0,60630.25,48.684210526315795,0.4612684674578091,2126100,4609246.35,3.103448275862064,10.536044362292053,-2.111638566050089,-3.5172636334301344,78150.0,51200.0,31.910946196660483,True,True,False,False,12.195121951219523,True,False,88.83392019371598,76.0
FRT,Bán lẻ,143400.0,135535.0,124283.2,136916.35,63.660477453580896,0.04861106011763583,33100,680915.0,-1.1716057891109632,33.14763231197772,17.908238776517017,-5.302780162451293,172380.0,92270.0,63.82474098115092,True,True,True,False,37.88461538461539,True,False,182.64213936682336,76.0
VHM,Bất động sản,72600.0,71940.0,71773.0,60983.9,39.62264150943396,0.20242512970108265,1378600,6810419.25,4.9132947976878505,10.083396512509468,-0.01377220768489229,58.72321818976825,83440.0,18100.0,83.40985613712887,True,True,True,False,12.645461598138086,True,False,-49.424987142995235,73.0
FPT,Công nghệ thông tin,71900.0,69445.0,69594.0,81856.45,51.96078431372549,0.23827788515520204,1390000,5833525.0,4.202898550724643,14.126984126984121,-3.8770053475935873,-13.633633633633636,131310.0,61500.0,14.8975791433892,True,True,False,False,16.910569105691064,True,False,298.7781319106322,72.0
VNM,Thực phẩm & Đồ uống,63900.0,61465.0,58578.0,60253.5,78.2051282051282,0.16352203896918593,779400,4766330.0,2.898550724637672,7.214765100671139,12.618963694043007,4.4117647058823595,73110.0,45920.0,66.12725266642147,True,True,True,False,10.745233968804158,True,False,176.0756842341002,72.0
SHS,Dịch vụ tài chính,15900.0,15480.0,16864.0,18456.0,51.35135135135135,0.45225932885625997,4769000,10544835.0,8.163265306122458,6.000000000000005,-10.169491525423723,-19.289340101522846,30000.0,8540.0,34.29636533084809,True,False,False,False,22.307692307692317,True,True,105.88889054925306,71.0
MBS,Dịch vụ tài chính,18200.0,17406.5,18472.4,19522.35,59.21450151057402,0.3053721144050027,1458000,4774502.75,6.432748538011701,8.140225787284617,-1.8338727076591121,-15.857605177993527,31360.0,14550.0,21.713265913146937,True,False,False,False,21.820615796519416,True,True,124.06501822840374,71.0
DHG,Y tế,96000.0,94050.0,93354.0,95973.25,65.06024096385542,0.4699738903394256,4500,9575.0,2.673796791443861,4.918032786885251,2.127659574468077,-1.7902813299232712,104600.0,78070.0,67.58386732001507,True,True,True,False,6.077348066298338,True,False,69.55519493037662,70.0
AAA,Hóa chất,7140.0,7112.0,7033.6,7215.3,47.24409448818897,0.4509397874136174,533700,1183528.3,1.5647226173541862,4.692082111436946,6.726457399103136,-1.6528925619834656,8600.0,5890.0,46.125461254612546,True,True,True,False,7.36842105263158,True,False,-18.192332849632812,70.0
BAF,Thực phẩm & Đồ uống,32750.0,31132.5,30236.8,29711.1,70.0,0.5024374138165434,1034800,2059560.0,3.149606299212593,12.93103448275863,13.913043478260878,5.91849935316946,32830.0,21670.0,99.2831541218638,True,True,True,False,14.912280701754387,True,False,137.76815379532536,70.0
VND,Dịch vụ tài chính,17050.0,16587.5,17233.0,17414.0,51.515151515151516,0.4075317363521018,4061500,9966095.0,6.562500000000004,3.963414634146334,-0.5830903790087438,-7.185628742514972,26580.0,10600.0,40.36295369211514,True,False,False,False,14.429530201342278,True,True,52.037751084973166,68.0
ACB,Ngân hàng,22500.0,22297.5,22483.0,21192.3,50.74626865671642,0.09989333543231442,989900,9909570.0,3.9260969976905313,0.0,4.022191400832176,10.892065056678168,25420.0,14940.0,72.13740458015268,True,True,False,False,4.408352668213467,True,False,13.866655839142098,65.0
VCK,Dịch vụ tài chính,30600.0,30207.5,31542.0,32089.941176470587,42.857142857142854,0.34829839451440925,799000,2294010.0,4.615384615384621,6.9930069930070005,-4.968944099378891,-4.5539613225202835,38100.0,26310.0,36.38676844783715,True,False,False,False,11.475409836065564,True,True,94.08689386227786,65.0
VIX,Dịch vụ tài chính,14050.0,12893.0,14057.6,16837.3,60.51948051948052,0.6173939504441851,26404200,42767182.9,12.220447284345038,19.98292058070026,-15.208207604103807,-14.796846573681021,32530.0,6920.0,27.840687231550177,True,False,False,False,27.727272727272734,True,False,180.0953987887566,64.0
VCI,Dịch vụ tài chính,22450.0,21520.0,22600.0,25110.5,56.666666666666664,0.4402921353370409,4109700,9334030.0,6.146572104018921,13.959390862944154,-7.802874743326493,-24.613834788448617,35840.0,18150.0,24.30751837196156,True,False,False,False,23.691460055096414,True,False,146.41753580425365,64.0
