time,open,high,low,close,volume
2025-11-07,32.91,33.25,32.32,32.32,16099427
2025-11-10,32.61,32.91,32.27,32.71,8803389
2025-11-11,32.76,33.3,32.66,32.96,11247129
2025-11-12,33.01,34.28,32.91,34.28,12033916
2025-11-13,33.94,34.77,33.89,34.38,12541547
2025-11-14,34.08,34.62,33.99,34.38,5609154
2025-11-17,34.38,34.52,33.99,34.43,9508132
2025-11-18,34.47,34.62,34.23,34.62,8600856
2025-11-19,34.67,34.67,34.03,34.08,6845151
2025-11-20,34.13,34.28,33.89,33.89,6945021
2025-11-21,33.79,33.79,32.81,33.54,8566350
2025-11-24,33.59,33.69,33.2,33.25,8285499
2025-11-25,33.3,33.3,32.76,32.76,9153171
2025-11-26,32.91,33.2,32.81,33.15,7865091
2025-11-27,33.25,33.5,33.01,33.05,8862611
2025-11-28,33.05,33.2,32.61,33.05,8397257
2025-12-01,33.01,33.01,32.52,32.52,7039919
2025-12-02,32.52,33.59,32.47,33.5,14033271
2025-12-03,33.54,34.28,33.54,34.18,16233271
2025-12-04,34.28,34.77,34.08,34.67,12029146
2025-12-05,34.77,34.77,33.99,33.99,7324816
2025-12-08,33.94,34.08,33.45,33.5,6294625
2025-12-09,33.5,33.5,32.81,33.1,10779639
2025-12-10,33.05,33.45,33.01,33.01,5386192
2025-12-11,33.05,33.3,32.71,32.71,6616889
2025-12-12,32.76,32.91,31.34,31.34,19133811
2025-12-15,31.34,31.63,30.85,31.34,10496106
2025-12-16,31.34,32.42,29.87,32.32,14025102
2025-12-17,32.32,32.47,31.88,31.93,6758395
2025-12-18,32.12,32.42,31.83,32.32,9093940
2025-12-19,32.52,32.96,32.42,32.91,9190147
2025-12-22,33.15,34.47,33.05,34.47,16575711
2025-12-23,34.57,34.62,34.03,34.08,12794220
2025-12-24,33.99,34.47,33.59,34.23,10580408
2025-12-25,34.23,35.06,33.3,33.3,10954305
2025-12-26,32.81,33.64,32.37,33.2,12168629
2025-12-29,33.25,33.74,33.1,33.35,6601200
2025-12-30,33.5,33.69,33.05,33.64,7270790
2025-12-31,34.08,34.18,33.54,34.18,9460461
2026-01-05,33.94,34.23,33.1,34.23,8197951
2026-01-06,34.23,35.26,33.5,35.26,25196389
2026-01-07,35.5,35.75,35.21,35.65,13339074
2026-01-08,35.75,35.9,34.77,35.26,21060926
2026-01-09,36.29,36.38,35.45,35.9,28307296
2026-01-12,35.94,37.22,35.7,37.22,23410377
2026-01-13,37.32,37.41,36.38,36.58,20084829
2026-01-14,36.43,36.53,35.26,35.75,24181622
2026-01-15,35.26,35.85,34.57,34.87,27295828
2026-01-16,34.92,35.6,34.87,35.06,9589550
2026-01-19,35.16,35.7,35.06,35.55,10005375
2026-01-20,35.6,35.85,34.92,35.21,15694378
2026-01-21,35.06,35.16,34.28,35.06,11177981
2026-01-22,35.11,35.5,34.92,35.26,8792113
2026-01-23,35.45,36.14,35.21,35.75,20717640
2026-01-26,35.94,35.94,34.92,34.92,9428014
2026-01-27,34.77,35.06,34.03,34.23,12141687
2026-01-28,34.28,34.57,33.64,33.79,11499274
2026-01-29,33.94,34.28,33.45,34.18,8599922
2026-01-30,34.13,35.16,34.08,35.16,11610612
2026-02-02,34.57,35.01,34.03,34.28,9672759
2026-02-03,34.87,34.87,33.99,33.99,14020151
2026-02-04,33.99,34.18,33.64,33.84,11725665
2026-02-05,34.23,34.38,34.03,34.13,10706961
2026-02-06,33.79,33.89,33.4,33.89,12503190
2026-02-09,34.28,34.28,33.79,34.03,7762352
2026-02-10,34.08,34.28,33.74,33.89,9958011
2026-02-11,33.99,34.62,33.89,34.57,11052576
2026-02-12,34.67,35.01,34.47,34.72,7551244
2026-02-13,34.47,34.77,34.47,34.72,6065462
2026-02-23,34.77,35.16,34.72,35.11,9154694
2026-02-24,35.11,35.16,35.01,35.06,10881231
2026-02-25,35.06,35.7,34.96,35.26,12395758
2026-02-26,35.36,35.7,35.26,35.7,9315035
2026-02-27,35.31,35.65,35.11,35.5,7969623
2026-03-02,35.06,35.06,33.94,33.94,17534458
2026-03-03,33.94,34.23,32.91,32.91,17293205
